publisher,genres,id,app_name
Roppy Chop Studios,Casual,375790,Build 'n Bump
AIGRIND,Massively Multiplayer,326360,Warspear Online
Snowbird Games,Strategy,235660,Eador: Genesis
Sven Co-op Team,Casual,225840,Sven Co-op
Iceberg Interactive,Action,242130,Vector Thrust
Magic Pixel Kft.,Simulation,478042,Zaccaria Pinball - Clown Table
Yodo1 Games,Free to Play,473870,Infinity Wars - Treasures of the Calamity
Positech Games,RPG,427490,Shadowhand
"Kalypso Media Digital, Feral Interactive (Mac)",Strategy,205633,Tropico 4: Megalopolis DLC
Digital Fusion Inc.,Action,655440,Panzer Killer
Reminisce,Action,388720,Link: The Unleashed Nexus
Super Games Studio,Indie,524940,Javva Juice
Nexon America,RPG,533600,Riders of Icarus: Elite Grim Rider's Package
PoRovoz Studios,Strategy,563490,Earth Liberation
Warner Bros. Interactive Entertainment,Action,347880,Kombat Pack
League of Geeks,Adventure,290340,Armello
Accolade,Action,735480,Bubsy: The Woolies Strike Back Soundtrack
Hanako Games,Strategy,251990,Long Live The Queen
GKT Studios Entertainment,Indie,527210,Janken Cards
My.com,Action,754660,Warface - Battle Royale
ANPA.US,Indie,575950,Blood Feed
Quiet River,Free to Play,723000,Zup! 6 - OST
Ubisoft,Indie,619880,ATOMEGA
Bossa Studios,Indie,759140,Purrfect Date Original Soundtrack
Cult Software,Adventure,530860,The Wanderer
Reverb Triple XP,Adventure,294460,Fenix Rage
Acram Digital,Indie,702411,Eight-Minute Empire: Old Europe Map
Nick Everlith,Indie,467910,EPΘCH
Astra Game Studio,Action,404890,U-Boats
D3 Go!,Casual,234330,Marvel Puzzle Quest
"XSEED Games, Marvelous USA, Inc.",Action,623197,Fate/EXTELLA - Sweet Room Dream
Frontwing USA,Indie,578070,Corona Blossom Soundtrack
Andrew Willman,Action,367140,Wish Project
Tribute Games Inc.,Action,218820,Mercenary Kings
Application Systems Heidelberg,Indie,280540,GhostControl Inc.
Nival,Free to Play,264681,King's Bounty: Legions | Champion of the Realm Pack
Doppler Interactive,Indie,261960,Cube & Star: An Arbitrary Love
Iceberg Interactive,Action,216110,Tiny Troopers
Rebellion,Action,326431,Sniper Elite 3 - International Camouflage Rifles Pack
Konami Digital Entertainment,Adventure,273152,Castlevania: Lords of Shadow 2 - Relic Rune Pack
ANPA.US,Adventure,434940,Dinosaur Hunt - Medieval Knights Hunter Expansion Pack
Mykhail Konokh,Casual,757860,Elbub
SnoutUp,Indie,424280,Iron Snout
Dexion Games,Simulation,760870,I want cookies
Slitherine Ltd.,Simulation,312450,Order of Battle: World War II
"Square Enix, Feral Interactive (Mac)",Action,265191,THIEF DLC: Booster Pack - Opportunist
True Illusion Software,Early Access,438310,SCORE
KISS ltd,Sports,553074,Pixel Puzzles Ultimate - Puzzle Pack: Castles
Carnivore Games,Casual,585590,Emperor Kingdom
Strategy First,RPG,281430,Clans
Ivanovich Games,Racing,385490,MiniDrivers
"Extend Studio, ORiGO GAMES",Indie,92300,A.R.E.S.: Extinction Agenda
Sakura River Interactive,Casual,302290,Infinite Game Works Episode 0
Microids,Casual,302390,Necronomicon: The Dawning of Darkness
Taggrin,Indie,757190,Vexius
Prospect Games,Action,525960,Unbox OST
Restory Studio,RPG,665090,The Initial
Ubisoft,Simulation,206164,Rocksmith - Twisted Sister - We're Not Gonna Take It
Mika Spin Games,Casual,550870,Tricky Trail RC
KoheiGallery,Indie,632120,Moe Mekuri SP -Moe Mekuri 1 VOCAL COLLECTION-
David J Ozsvath,Indie,690440,Korvae in space
Nib Games,Sports,678500,The Climber
FIVE-BN GAMES,Adventure,392950,Lost Lands: A Hidden Object Adventure
BeautiFun Games,Indie,252670,Nihilumbra
DragonJam Studios,Action,451060,Wincars Racer
Screen 7,Indie,416250,Tales [PC]
AKGames,Adventure,386340,MegaSphere
HypeTrain Digital,Indie,410110,12 is Better Than 6
Pentagrammical Justice,Adventure,555430,On The Path Remastered
"Making Fun, Inc.",Indie,643980,Ironbound
Dovetail Games - Trains,Simulation,642790,TS Marketplace: Soldier Summit Scenario Pack 01 Add-On
Strategy First,Adventure,292660,Princess Isabella
Sayan,Indie,526510,The Hateful Dead
Spicy Horse Games,Indie,261409,Episode 20 - Pinnochio
Strategy First,Adventure,292670,Princess Isabella - Return of the Curse
Dagestan Technology,Casual,527480,Life Beetle
Green Sawdust,Adventure,550240,After Life - Story of a Father
Giants Software,Simulation,246010,Farming Simulator 2013: Marshall Trailers
Pixel Cream,Action,498740,Way of Redemption
Ghost_RUS Games,Indie,761440,Santa Run
"NovaLogic, THQ Nordic",Action,32750,Comanche 4
Luke Vincent,Adventure,664060,Willful
Coffee Stain Publishing,Casual,91600,Sanctum
Goodwolf Studio,Adventure,650570,Code 7
Fruitbat Factory,Strategy,583640,100% Orange Juice - Suguri & Hime Winter Costumes
Degica,Design &amp; Illustration,618682,RPG Maker VX Ace - Ancient Dungeons: Jungle
SEGA,Simulation,514683,Football Manager Touch 2017 Starting from the Bottom Challenge
Back To Basics Gaming,Indie,493700,Monster Puzzle
"Psyonix, Inc.",Sports,405170,Rocket League® - Back to the Future™ Car Pack
Dovetail Games - Flight,Simulation,457080,FSX: Steam Edition - Fairchild PT-26 Cornell Add-On
ClickGames,Action,562490,EvilMorph
Warner Bros. Interactive Entertainment,Action,216448,Gotham City Impostors Free to Play: Crocky
GameUS Inc,Casual,440810,1943 Megami Strike
Dragon Slumber,Action,618630,Astral Traveler
Indigo Studios,Adventure,536920,Groggers!
MAGIC Spell Studios,Casual,438910,"Hack, Slash & Backstab"
Ripstone,Simulation,439830,Pure Chess - Sci-Fi Game Pack
Interplay Inc.,Action,273580,Descent 2
BlackMoon Design,Strategy,300320,The Few
"Hamster On Coke Games, Maciej Targoni",Indie,676430,PUSH
Capt McCay Soft,Strategy,707770,Tactics 2: War
Ubisoft,Action,365590,Tom Clancy’s The Division™
Frictional Games,Action,57300,Amnesia: The Dark Descent
Ghostbutter,Adventure,705450,Wunderdoktor
1C Game Studios,Simulation,502870,IL-2 Sturmovik: Battle of Moscow
GSProductions Ltd.,Simulation,570920,RPG Tycoon: Festive Fun
SEGA,Simulation,415200,Motorsport Manager
Really Slick,Indie,310830,Retrobooster
Talecore Studios,Indie,452120,Midvinter
ArcaneRaise,Casual,670590,Alexander (Character for Occult Raise)
Lichthund,Action,529430,Lichtspeer Soundtrack
"2K Games, Feral Interactive (Mac), Feral Interactive (Linux)",Strategy,209811,XCOM: Enemy Unknown - Elite Soldier Pack
CWH Entertainment,Action,614960,NEONomicon
Kobra Studio,Simulation,513880,Panzer Warfare
Alexey Roenko,Indie,454100,Dungeon Escape
Ankama Games,RPG,451110,WAKFU - Ogrest Anime Pack
KarjaSoft,Casual,380560,Spandex Force: Champion Rising
Dovetail Games - Trains,Simulation,325956,Train Simulator: Return to Maerdy Loco Add-On
Errigar Games,Action,667420,Redium
Alawar Entertainment,Indie,666050,Rescue Team 7
Digital Dreams,Adventure,373990,Metrico+
Video Game Music Studios,Indie,568920,The Final Specimen: Arrival
WayForward,Adventure,345820,Shantae and the Pirate's Curse
KirUn,Indie,745030,Squarism
Unlok,Early Access,379210,Wayward
Ubisoft,Casual,258366,Rocksmith® 2014 – Green Day - “American Idiot”
"Hassey Enterprises, Inc.",Indie,538536,emoj.io - Beast Pack
Coconut Tree Studio,Casual,660220,Cyber Utopia - Artworks.
triplesghoul,Adventure,722410,Fallen Kingdom
Winking Entertainment,Indie,571670,Heroine Anthem Zero - Original Soundtrack
Kosek.com,RPG,397360,Magician's Apprentice
KOG Games,Casual,237310,Elsword
Console Classics,Racing,393540,TNN Motorsports Hardcore TR
Milestone S.r.l.,Racing,464320,Real Events 2: 2016 MotoGP™ Season
Winter Wolves,Indie,302950,Heileen 1: Sail Away
KISS ltd,Casual,284950,Pixel Puzzles: Japan
Webzen,Free to Play,284700,C9: Steam Beginners Package
Stegalosaurus Game Development,Adventure,459590,Army of Tentacles: Halloween
Frontier Developments,Strategy,441730,Elite Dangerous: Pilot Starter Pack
"Thiemo Bolder, ONEMANGAMES",Strategy,443420,Artificial Defense
vextro,Free to Play,655160,welcome to heaven
"KUMA, LLC",Action,728180,Space Epic Untitled - New Recruit Bundle
SmartHart Games,Indie,511340,Existentia
EightyEightGames,RPG,227580,"10,000,000"
"Cristian Manolachi, Atomic Fabrik",Casual,655120,Space Hero Line
baKno Games,Casual,732680,Gems
绿叶工作室,Massively Multiplayer,714880,大乱斗 Chaos Battle
Duplicator Studio,Indie,560570,Breaking Bones
En Masse Entertainment,Massively Multiplayer,326624,TERA: Accessorize Pack
Tall Studios,Early Access,369190,Shoot 'Em Up Kit
Joint Ventures,Simulation,662910,Cash Crop
Doublesix Games,Indie,209360,All Zombies Must Die!: Scorepocalypse
"KISS ltd, Osprey Publishing",Casual,285130,Battleplan: American Civil War
Tortuga Team,Strategy,333880,Braveland Wizard
Dovetail Games - Flight,Simulation,471895,FSX Steam Edition: Endelave Airport Add-On
nobodyshot,Casual,497100,FootRock
Degica,Web Publishing,297642,RPG Maker VX Ace - Rebel Rapture Music Pack
Awestruck Games,Simulation,333340,Star Rangers™ XE
Bethesda Softworks,Action,22363,BRINK: Fallout®/SpecOps Combo Pack
Sons Of Earth,Indie,605020,Mountain Mind EP
astragon Entertainment GmbH,Simulation,563890,Bus Simulator 16 - Mercedes-Benz Citaro Pack
Winter Wolves,Indie,333390,Tales of Aravorn: Seasons Of The Wolf
"SEGA, Feral Interactive (Mac)",Action,404010,Total War: WARHAMMER - Chaos Warriors
Narrow Monolith,Adventure,310870,The Tower
Makivision Games,Indie,40500,Sacraboar
Microids,Adventure,362920,Atlantis 2: Beyond Atlantis
Dagestan Technology,Adventure,720720,Super Trashforce Artworks
Onipunks Studio Inc.,Action,250540,C-Wars
"Andrés Calva, Luis Calva",Adventure,429950,ABO MANDO
Epiphany Games,Action,284140,Majestic Nights
ORiGO GAMES,Indie,92302,A.R.E.S.: Berzerker Suit
jgallant,Strategy,645910,Picross Touch - Donation Level 4
Semen Rodin,Simulation,474790,BATTLE PIXEL'S SURVIVAL GROUND
Pantera Entertainment,Indie,209610,Roller Coaster Rampage
John Wizard,RPG,520820,Dawn's Light
Paradox Interactive,Simulation,206720,Cities in Motion: London
eugeniy_kh,Strategy,720060,Colony
Self-Publish,Indie,453950,To Ash
Choice of Games,Indie,726230,The Superlatives: Aetherfall
Blue Entropy Studios,Casual,704610,Reaching for Petals - Official Soundtrack
Ripstone,Casual,300610,Pure Pool
Trion Worlds,RPG,542610,Devilian - Labyrinth Pack
Alawar Entertainment,Casual,560740,Shtriga: Summer Camp
Petite Fleur Productions,Indie,719740,Pi
Warfare Studios,Strategy,552580,Jade's Journey
New Reality Games,Indie,412170,City of Chains
GameChanger Studio,Simulation,545030,NSFW ~ Not a Simulator For Working
Jetdogs Studios,Free to Play,607840,Wanderland: Starter Pack
Play sp. z o. o.,Simulation,385470,Railroad Lines
Jagex,Massively Multiplayer,299360,Block N Load
Bitlock Studio,Casual,714620,Snakeez
WildTangent,RPG,276890,FATE: Undiscovered Realms
EuroVideo Medien,Adventure,462290,Victor Vran: Mötorhead Through The Ages
United Independent Entertainment GmbH,Simulation,259910,Farming Giant
Super Squared,RPG,576280,Arena Hero
Virtual Racing Industries Ltd.,Simulation,344070,VRC PRO Deluxe Off-road tracks
Nival,Casual,235360,Prime World: Defenders
Devolver Digital,Adventure,377080,Hatoful Boyfriend: Holiday Star
The Quadsphere,Indie,375000,Icarus-X: Tides of Fire
Back To Basics Gaming,Casual,451880,Catch a Falling Star
FarSight Studios,Free to Play,238260,Pinball Arcade
SilentFuture,Simulation,398890,Zombie Gotchi
JimJams Games,Indie,663480,Fungoids - Steam version
astragon Entertainment GmbH,Indie,420370,Gravity Island
Dovetail Games,Simulation,513113,TS Marketplace: LMS P1&P2 BR Maroon Coach Pack Add-On
Ludo Land,Indie,746570,Box Looter 2018
Badland Games,Indie,636610,Nightmare Boy - OST
SEGA,Sports,489843,Football Manager Touch 2017 - Board-Override
Paper Pirates,Adventure,732070,Lost in the tomb
"The Fighter Collection, Eagle Dynamics SA",Simulation,555530,A-10C: Advanced Aircraft Training Qualification Campaign
Fish Eagle,Indie,230691,Lords of Football: Super Training
Archbears,Strategy,690510,Black Survival
Evolutionary Games,Action,249610,Galactic Arms Race
Telltale Games,Adventure,31210,Tales of Monkey Island Complete Pack: Chapter 5 - Rise of the Pirate God
roseVeRte,Adventure,411730,How to Take Off Your Mask - Theme Song
Paradox Interactive,Strategy,202270,Leviathan: Warships
13AM Games,Indie,505480,Runbow Soundtrack
DigitalEZ,Indie,546080,Coffin of Ashes
Zeiva Inc,Adventure,342360,Train of Afterlife
Awoker Games,Strategy,536040,Cards of Cthulhu
Clarus Victoria,Strategy,346810,Marble Age
3D Realms (Apogee Software),Action,358380,Wacky Wheels
Ubisoft,Simulation,206163,Rocksmith - Mountain - Mississippi Queen
The Domaginarium,Early Access,684340,The Nightmare from Beyond
Microids,Racing,417430,Moto Racer  4
8Floor,Strategy,363350,Fort Defense - Atlantic Ocean
Nyan_Fort,Adventure,673360,Black Mist
Devolver Digital,Action,312990,The Expendabros
Gazzapper Games,Strategy,733020,Zen Blocks
Black Shell Media,Adventure,405860,Super Ubie Island REMIX
The Game Creators,Adventure,321142,GameGuru Mega Pack 3
Big Fish Games,Casual,552670,Rite of Passage: The Perfect Show Collector's Edition
Individual Software,Education,393320,Typing Instructor Platinum 21
Reborn Games Inc.,Adventure,440450,Escape: Sierra Leone
Nkidu Games Inc.,Indie,595020,Holobunnies: Pause Cafe - Soundtrack
New Horizon Productions,Early Access,744720,The Silence Outside
Breakfall,Indie,263020,STARWHAL
Game Grumps,Simulation,654880,Dream Daddy: A Dad Dating Simulator
Sogoal,Action,430370,Babel: Choice (Original Soundtrack)
rokaplay,Casual,685760,Stones of Rome
Capcom,Action,721113,Marvel vs. Capcom: Infinite - Space Suit Costume
Spooky Star,Indie,375420,The Architect
"Expansive Worlds, Avalanche Studios",Simulation,253710,theHunter Classic
"Warner Bros. Interactive Entertainment, Feral Interactive (Mac)",Action,439241,LEGO® Star Wars™: The Force Awakens - Season Pass
Adult Swim Games,Action,327510,WASTED
"Idea Factory International, Inc., IDEA FACTORY Co., Ltd.",RPG,319014,Hyperdimension Neptunia Re;Birth1 Plutia Battle Entry / プルルートバトル参加ライセンス / 普露露特參戰許可
zov game stuido,Adventure,591050,JET HERO 6000 STAR
Degica,Utilities,372060,DigiFish Aqua Real 2
GrendelGames,Indie,70500,Diamond Dan
Signal Studios,Action,307880,Savage Lands
Activision,Sports,10140,3D Ultra™ Minigolf Adventures
Post Mortem Pixels,Indie,624690,NEXT JUMP: Shmup Tactics
Frolov Pavel,Casual,732550,Woody Blox
Indie Voyage,Indie,501310,Venture Forth
"Forthright Entertainment, LLC",RPG,498700,The Ember Saga: A New Fire
Dexion Games,Casual,722940,Mighty Action RPG
Drift Physics Crew,Sports,755180,FURIDASHI - PREMIUM CAR: 2002 GTR-34
TripleBrick,Adventure,367010,Vernon's Legacy
"2K Games, Aspyr (Mac &amp;amp; Linux)",Action,225829,Borderlands 2: Mechromancer Madness Pack
Sapphire Dragon Productions,Adventure,403070,Silver Creek Falls: Chapter 2
"Standing Stone Games, LLC",RPG,206480,Dungeons & Dragons Online®
b-alive gmbh,Indie,308300,Wildlife Park 2 - Domestic Animals
疯王子中二集团总部,Casual,635410,The Adventurer and His Backpack
Joure Visser,Indie,552880,STARDROP
Quantum Entanglement Games,Action,547470,Apokalypsis
Pentagrammical Justice,RPG,555430,On The Path Remastered
Silent Legends,Free to Play,550740,Battles of the Valiant Universe CCG
chickeninthecornstudio,Indie,432250,Soviet City
Ronimo Games,Indie,204310,Awesomenauts - Bumble Gnaw Skin
Chequered Ink Ltd.,Action,453830,Innoquous 5
Pugsley LLC,Indie,370080,Breezeblox
GameHouse,Indie,540060,Fabulous - Angela's Fashion Fever
1C Company,Strategy,356260,Stalingrad
Degica,Web Publishing,356231,RPG Maker VX Ace - Tyler Warren RTP Redesign 1
GameArt Studio GmbH,Racing,317440,Quantum Rush Champions
ThinkOfGames,Indie,562520,Attempt[42]
"Psyonix, Inc.",Sports,457162,Rocket League® - Vulcan
Ocumens LLC,Action,752230,Cutthroat - Spooky Skin Pack
Vertigo Games America,Free to Play,477941,BlackShot - Green Pack
OtakuMaker.com,Action,453370,The Renegades of Orion 2.0 - Revenge DLC #1
Bigben Interactive,Action,618970,Outcast - Second Contact
Sassybot,Casual,428540,Fragments of Him
Inexplicable Games,Indie,666730,This Merchant Life
"The Fighter Collection, Eagle Dynamics SA",Simulation,411892,DCS: M-2000C
Gaijin Games,Action,205060,BIT.TRIP CORE
FredBear Games Limited,Strategy,652990,Eternal Maze
"Rocket-Engine Co.,Ltd.",Action,691310,"Trouble Witches Origin,Special additional character : Cotton"
"CyberLink , Koach Media",Utilities,450710,CyberLink PowerDVD 16 Ultra
Dandylion,RPG,470310,Troubleshooter
Virtual Racing Industries Ltd.,Casual,678733,VRC PRO GT3 chassis and components pack
Matt Roszak,Action,412670,Bullet Heaven 2
Headup Games,Action,207166,Stellar Impact - Support Ship DLC
YFC games,Indie,440740,Tap Tap Legions - Epic battles within 5 seconds!
Bohemia Interactive,Action,65720,Arma 2: Private Military Company
Laylio Games,RPG,349550,Mighty Dungeons
Double Fine Productions,Adventure,228360,Full Throttle Remastered
Lighthouse Games Studio,Early Access,330580,Shark Attack Deathmatch 2
MoFunZone Inc,Racing,606490,Duck Life: Space
Coty Getzelman,Indie,391240,Forgotten Lore
For Kids,Casual,759500,Dragon Hunter
Axiomatic Games,Casual,654000,A Quick Death
Activision,Action,234778,Call of Duty®: Black Ops II - Viper Personalization Pack
Red Barrels,Adventure,273300,Outlast: Whistleblower DLC
astragon Entertainment GmbH,Simulation,289930,TransOcean: The Shipping Company
Lovepurple,Adventure,736200,Nana in the Dark
ArcaneRaise,Adventure,658380,Emily (for Athopiu)
Back To Basics Gaming,Casual,513780,Turbo Pug DX
Age of Fear,RPG,351480,Age of Fear: The Undead King
Drift Physics Crew,Racing,756725,FURIDASHI - PREMIUM CAR: 1986 DRX-7
WTFOMGames,Indie,661530,Gold Rush In The Oort Cloud
SoftWeir Inc.,Web Publishing,347400,001 Game Creator
Iceberg Interactive,Racing,277821,Gas Guzzlers Extreme: Full Metal Zombie
Kmany Design,Early Access,685300,Portrait Wizard
Aeonic Entertainment,Indie,431630,Action Legion
GameHouse,Casual,605990,Heart's Medicine - Hospital Heat
Fasold Games,Adventure,712070,Lantern of Worlds
Ronimo Games,Strategy,204304,Awesomenauts - Coco Hawaii Skin
Ska Studios,Action,283640,Salt and Sanctuary
Ripknot Systems,Action,703530,Grav Blazer Squared
Skylar Stickley,Free to Play,590280,Canvas The Gallery
"KOEI TECMO GAMES CO., LTD.",Action,595740,SAMURAI WARRIORS: Spirit of Sanada
Jake Huhman,Indie,340360,Tomb of Tyrants
"Square Enix, Feral Interactive (Mac)",Action,259900,THIEF: The Bank Heist
Hamsters Gaming,Strategy,730410,Music Awards Manager
Apogee Software,Action,515740,Radical Heroes: Crimson City Crisis
SC Jogos,Casual,552950,Ninja Stealth - Supporter Edition
Xorcerox,Simulation,610810,Your Friend Hana
Magic Pixel Kft.,Casual,478035,Zaccaria Pinball - Robot Table
Aleksandr Golovkin,Strategy,502740,50 years
Aldorlea Games,Indie,458420,Last Heroes 3
PlayWay S.A.,Racing,754920,Car Mechanic Simulator 2018 - Plymouth DLC
"KOEI TECMO GAMES CO., LTD.",Strategy,521700,NOBUNAGA’S AMBITION: Sengoku Gunyuuden / 信長の野望・戦国群雄伝
"WolfShipGames Co., Ltd.",Strategy,732470,Battleship Lonewolf
feelThere,Indie,662140,Tower!2011:SE - Toronto [CYYZ] Airport
"Codemasters, Feral Interactive (Mac)",Sports,255692,GRID 2 - Classic GRID Pack
THQ Nordic,RPG,451020,Battle Chasers: Nightwar
Basilisk Games,RPG,25620,Eschalon: Book II
GamePhase,Action,560300,Thy Sword
KISS ltd,Casual,591507,Pixel Puzzles Ultimate - Puzzle Pack: Macro
vikingfabian.com,Casual,437900,Party Jousting
Stone Blade Entertainment,Strategy,232450,SolForge
Arcade Injection,Racing,296790,ThunderWheels
Gameforge 4D GmbH,Action,641020,S.K.I.L.L. - Special Force 2 - Specialist Pack
Gameforge 4D GmbH,Sports,286940,S.K.I.L.L. - Special Force 2 (Shooter)
Headless Wizard,Action,354300,Bloody Streets - Soundtrack and Art Book
Ankama Games,Massively Multiplayer,336660,WAKFU - Jiva Pack
"PopCap Games, Inc.",Casual,3440,Rocket Mania Deluxe
ClickGames,Action,480480,Slash or Die
Tiny Titan Studios,Early Access,614630,Tiny Rails
The Game Creators,Utilities,744150,The Official AppGameKit Tutorial Guide Vol 2
Yash Future Tech Solutions Pvt Ltd,Racing,655610,Horse Racing 2016
Warfare Studios,RPG,555410,Hearts of Chaos
Hexage,Indie,302970,Radiant Defense
SergioPoverony,Casual,757870,Australian trip
Ubisoft,Action,293059,Watch_Dogs - Access Granted Pack
Retroism,Action,340130,Moorhuhn Invasion (Crazy Chicken Invasion)
Black Smerch,Simulation,581740,HUNGER
Snkl Studio,Indie,761630,akda
WisdomTools,RPG,338030,Mission Control: NanoMech
Pixel Ferrets,RPG,403220,Soundtrack for Secrets of Grindea
United Independent Entertainment GmbH,Strategy,389690,Nightclub Emporium
SunRay Games,Action,434220,Bear Haven Nights
Anarkis Gaming,Strategy,439720,Unending Galaxy
SIFAKA DIGITAL,Casual,749570,Plandzz 2
Fruitbat Factory,Adventure,335200,ManaCollect
Focus Home Interactive,RPG,702990,The Surge: A Walk in the Park DLC
Red Nexus Games Inc.,Indie,513840,Friday Night Bullet Arena
VI Games LLC,Action,634150,ReSizE
Oneironaut Academy LLC,Casual,565640,Colorful Life
Paradox interactive,Strategy,283530,Cities in Motion 2: European Cities
AEY Inc.,Indie,586480,Detective Noir
Copperpick Studio,Indie,768880,Beach Rules
BadWolf Games,Simulation,535260,Save Home
Dumbfounded,Indie,513820,LUXIS
Topware Interactive,Indie,218510,Planets Under Attack
Credici,Action,679350,Abstract Arena - Original Soundtrack
"Square Enix, Feral Interactive (Linux), Feral Interactive (Mac)",RPG,413360,Deus Ex: Mankind Divided - System Rift
etaxoft,Indie,668230,SLI-FI: 2D Planet Platformer
the_dobrokot,Adventure,601180,Doug and Lily
Lunchbox Edu,Action,717240,Divide & Conquer
OddBird,Casual,717620,Arrow Heads - Soundtrack
Thing Trunk,Action,706770,Return 2 Games Supporter's Pack
Spacevb Studio,Action,685020,Spacecraft
1C-777,Simulation,244060,Rise of Flight: Ace Pack
Two thousand and one entertainment studio,Strategy,711970,GALACTIC FIELD：Strategy Edition 银河领域：策略版
Sometimes You,Simulation,539440,Citalis
KISS ltd,Strategy,271550,Tribloos 2
Displacement Studios,Adventure,502910,The Return Home
tom_jackson,Adventure,654710,Ashes
Blindflug Studios AG,Indie,587000,First Strike: Final Hour
"Atelier Melon-Kissa, OtakuMaker.com",Action,551510,Toricky - OST by Hiroki Kikuta & Dale North
Activision,Action,343598,Call of Duty®: Advanced Warfare - Aces Personalization Pack
Nitro Games,Strategy,49310,Commander: Conquest of the Americas - Colonial Navy
800 North and Digital Ranch,Action,70000,Dino D-Day
SuckerFree Games,Action,303510,Dungeons: The Eye of Draconus
Polar Bunny Ltd,Strategy,316080,Parcel
EvilCoGames,Casual,712350,The Music of Star Story: The Horizon Escape - Game OST
Io-Interactive A/S,Action,6900,Hitman: Codename 47
Gateside Games,Indie,412860,Zombie Office Politics
HuniePot,Strategy,348560,HuniePop Original Soundtrack
Paradox Interactive,RPG,61520,Age of Wonders Shadow Magic
"XSEED Games, Marvelous USA, Inc.",RPG,605280,The Legend of Heroes: Trails of Cold Steel - Alisa's Casuals
Badland Games,Casual,656460,Vostok Inc.
Squiddershins,Casual,427750,Tick Tock Isle Soundtrack
Light Vision Interactive,Massively Multiplayer,410450,Universal Pack
VolkDab,Casual,633350,WtBoy
magicdweedoo,Adventure,564810,Ticket
inXile Entertainment,Indie,259130,Wasteland 1 - The Original Classic
Frogshark,Casual,467900,SWORDY
KISS ltd,Simulation,289090,Ampu-Tea
Ubisoft,Simulation,222113,Rocksmith - Survivor - Eye of the Tiger
Binary Cocoa,Action,371880,Collider
Double Eleven,Strategy,328600,Frozen Synapse Prime
Milestone S.r.l.,Racing,563790,Ride 2 Free Bikes Pack 3
Paradox Interactive,RPG,73098,Magicka: Heirlooms Item Pack
tobyfox,RPG,391540,Undertale
"COLOPL, Inc.",Casual,525220,Dig 4 Destruction - Mask [Curse]
Limed,Action,697940,Press and Jump
D3 PUBLISHER,Action,467036,Rider Scarf
Independent,Action,622580,Escape Lizards - OST
WildLabs,Racing,588750,King Of Dirt
Dragom,Utilities,558460,Virtual Battlemap DLC - Castles & Chill
Asymmetric,RPG,597220,West of Loathing
"Nicalis, Inc",Action,253350,Tiny Barbarian DX
C3 Games Inc,Early Access,511110,DodgeBall Blitz
Reverb Publishing,Indie,215510,Rocketbirds: Hardboiled Chicken
BANDAI NAMCO Entertainment,Casual,508403,DRAGON BALL XENOVERSE 2 - DB Super Pack 4
"SQUARE ENIX, Eidos Interactive",Adventure,215251,Sleeping Dogs: GSP Pack
FIVE-BN GAMES,Casual,433000,Lost Lands: The Golden Curse
QuickSave,Action,620130,Chaos Town
Ghost_RUS Games,Simulation,773640,Colony On Mars
Copybugpaste,Early Access,325420,Homebrew - Vehicle Sandbox
Strategy First,Indie,322030,Unlimited Escape
Room710Games,Indie,413680,Statues
Qumaron,Simulation,423600,Adelantado Trilogy. Book one
Dovetail Games - Trains,Simulation,222639,Train Simulator: DB BR 145 Loco Add-On
tinyBuild,Indie,554791,Party Hard: High Crimes DLC
Double Fine Presents,Action,510620,THOTH
Nexon America Inc.,Action,591530,Hyper Universe
"Psyonix, Inc.",Indie,252950,Rocket League®
Big Fish Games,Casual,596270,Tales of Terror: Crimson Dawn
Hidden Path Entertainment,Indie,18521,Defense Grid: Resurgence Map Pack 4
"Warner Bros. Interactive Entertainment, Feral Interactive (Mac)",Action,449393,LEGO® MARVEL's Avengers DLC - Marvel’s Ant-Man Pack
BC,Casual,590570,Paper Quest
Milestone S.r.l.,Racing,408690,Sébastien Loeb Rally EVO - Class S The Prototypes
Idea Factory International,RPG,476871,Megadimension Neptunia VII Party Character [Nitroplus]
Redshift,Adventure,459750,The Quest - Islands of Ice and Fire
Microsoft Studios,RPG,329430,State of Decay: YOSE
TEAM101,Indie,352160,Curse of Mermos
"SQUARE ENIX, Eidos Interactive",Action,215253,Sleeping Dogs - Triad Enforcer Pack
Alawar Entertainment,Adventure,560730,The Esoterica: Hollow Earth
Dream Real,Action,599800,Easy Magic
Qumaron,Adventure,573760,Roads of Rome: New Generation
lingtanstudio,Adventure,653950,Your Smile Beyond Twilight:黄昏下的月台上
DYA Games,Indie,491040,Bot Vice
Dogenzaka Lab,Adventure,691520,Campus Notes - forget me not. OST
Clewcat Games,RPG,432230,"Axe, Bow & Staff"
Sven Co-op Team,Free to Play,225840,Sven Co-op
Mystic Games,Indie,366890,Zombie Zoeds
Daedalic Entertainment,Indie,429960,Bounty Train - Trainium Edition Upgrade
Giants Software,Casual,246010,Farming Simulator 2013: Marshall Trailers
Little Orbit,Adventure,413790,Adventure Time: Artifact Checking
Harebrained Holdings,Strategy,234650,Shadowrun Returns
Damien Sueur,Casual,696560,Bouncing Duck Simulator
Aegon Games Ltd,Casual,681520,The Rodinia Project
Fluxscopic Ltd.,Casual,340470,You Are Not A Banana: Better Edition
VaragtP,Action,294040,Loot Hero DX
Big Way,Action,625330,Steam Hammer - The Complete Soundtrack
Trickster Arts,Indie,297370,Hero of Many
Applava,Action,585710,Blazing Beaks
Roger von Biersborn,Adventure,491210,LUMBERMANCER
